compose_file,host_path,container_path,mount_options,full_mount,category,recommended_action
tests/load_testing/docker-compose.yml,tests/load_testing/monitoring/grafana/provisioning,/etc/grafana/provisioning,,tests/load_testing/monitoring/grafana/provisioning:/etc/grafana/provisioning,wrong relative root,Update path to start with infrastructure/docker/
services/core/code-analysis/docker-compose.yml,services/core/code-analysis/config/prometheus.yml,/etc/prometheus/prometheus.yml,ro,services/core/code-analysis/config/prometheus.yml:/etc/prometheus/prometheus.yml:ro,wrong relative root,Update path to start with infrastructure/docker/
services/core/code-analysis/docker-compose.yml,services/core/code-analysis/config,/app/config,ro,services/core/code-analysis/config:/app/config:ro,wrong relative root,Update path to start with infrastructure/docker/
services/core/code-analysis/docker-compose.yml,services/core/code-analysis/config/context-mock.conf,/etc/nginx/conf.d/default.conf,ro,services/core/code-analysis/config/context-mock.conf:/etc/nginx/conf.d/default.conf:ro,wrong relative root,Update path to start with infrastructure/docker/
services/core/code-analysis/docker-compose.yml,services/core/code-analysis/database/migrations/001_simple_schema.sql,/docker-entrypoint-initdb.d/001_simple_schema.sql,ro,services/core/code-analysis/database/migrations/001_simple_schema.sql:/docker-entrypoint-initdb.d/001_simple_schema.sql:ro,wrong relative root,Update path to start with infrastructure/docker/
services/core/code-analysis/docker-compose.yml,services/core/code-analysis/config/auth-mock.conf,/etc/nginx/conf.d/default.conf,ro,services/core/code-analysis/config/auth-mock.conf:/etc/nginx/conf.d/default.conf:ro,wrong relative root,Update path to start with infrastructure/docker/
services/core/code-analysis/docker-compose.yml,services/core/code-analysis/config/grafana/dashboards,/etc/grafana/provisioning/dashboards,ro,services/core/code-analysis/config/grafana/dashboards:/etc/grafana/provisioning/dashboards:ro,wrong relative root,Update path to start with infrastructure/docker/
services/core/code-analysis/docker-compose.yml,services/core/code-analysis/config/redis.conf,/usr/local/etc/redis/redis.conf,ro,services/core/code-analysis/config/redis.conf:/usr/local/etc/redis/redis.conf:ro,wrong relative root,Update path to start with infrastructure/docker/
services/core/code-analysis/docker-compose.yml,services/core/code-analysis/config/grafana/datasources,/etc/grafana/provisioning/datasources,ro,services/core/code-analysis/config/grafana/datasources:/etc/grafana/provisioning/datasources:ro,wrong relative root,Update path to start with infrastructure/docker/
tests/e2e/docker/docker-compose.e2e.yml,services,/app/services,ro,services:/app/services:ro,missing host directory,Create directory: services
tests/e2e/docker/docker-compose.e2e.yml,tests/e2e/docker/grafana/datasources,/etc/grafana/provisioning/datasources,ro,tests/e2e/docker/grafana/datasources:/etc/grafana/provisioning/datasources:ro,wrong relative root,Update path to start with infrastructure/docker/
tests/e2e/docker/docker-compose.e2e.yml,tests,/app/tests,ro,tests:/app/tests:ro,missing host directory,Create directory: tests
tests/e2e/docker/docker-compose.e2e.yml,tests/e2e/docker/prometheus.yml,/etc/prometheus/prometheus.yml,ro,tests/e2e/docker/prometheus.yml:/etc/prometheus/prometheus.yml:ro,wrong relative root,Update path to start with infrastructure/docker/
tests/e2e/docker/docker-compose.e2e.yml,tests/e2e/docker/init-scripts,/docker-entrypoint-initdb.d,ro,tests/e2e/docker/init-scripts:/docker-entrypoint-initdb.d:ro,wrong relative root,Update path to start with infrastructure/docker/
tests/e2e/docker/docker-compose.e2e.yml,tests/e2e/docker/grafana/dashboards,/etc/grafana/provisioning/dashboards,ro,tests/e2e/docker/grafana/dashboards:/etc/grafana/provisioning/dashboards:ro,wrong relative root,Update path to start with infrastructure/docker/
infrastructure/docker/docker-compose.nvidia-router.yml,infrastructure/docker/nvidia-router-logs,,,infrastructure/docker/nvidia-router-logs,missing host directory,Create directory: infrastructure/docker/nvidia-router-logs
infrastructure/docker/docker-compose.nvidia-router.yml,services/platform/nvidia-llm-router,,,services/platform/nvidia-llm-router,wrong relative root,Update path to start with infrastructure/docker/
infrastructure/docker/docker-compose.nvidia-router.yml,services/platform/nvidia-llm-router,/app,,services/platform/nvidia-llm-router:/app,wrong relative root,Update path to start with infrastructure/docker/
infrastructure/docker/docker-compose.nvidia-router.yml,infrastructure/docker/nvidia-router-config,,,infrastructure/docker/nvidia-router-config,missing host directory,Create directory: infrastructure/docker/nvidia-router-config
infrastructure/docker/docker-compose.nvidia-router.yml,services/shared,/app/shared,,services/shared:/app/shared,wrong relative root,Update path to start with infrastructure/docker/
infrastructure/docker/docker-compose.yml,services/platform/authentication,,,services/platform/authentication,wrong relative root,Update path to start with infrastructure/docker/
infrastructure/docker/docker-compose.security.yml,infrastructure/compliance/policies,/policies,ro,infrastructure/compliance/policies:/policies:ro,wrong relative root,Update path to start with infrastructure/docker/
infrastructure/docker/docker-compose.ocr.yml,services/ocr-service,,,services/ocr-service,wrong relative root,Update path to start with infrastructure/docker/
infrastructure/docker/docker-compose.ocr.yml,infrastructure/docker/monitoring/prometheus-ocr.yml,/etc/prometheus/prometheus.yml,,infrastructure/docker/monitoring/prometheus-ocr.yml:/etc/prometheus/prometheus.yml,missing host directory,Create directory: infrastructure/docker/monitoring/prometheus-ocr.yml
config/docker/docker-compose.yml,config/docker/scripts/docker/grafana/provisioning,/etc/grafana/provisioning,ro,config/docker/scripts/docker/grafana/provisioning:/etc/grafana/provisioning:ro,wrong relative root,Update path to start with infrastructure/docker/
config/docker/docker-compose.yml,config/docker/scripts/docker/init-db.sql,/docker-entrypoint-initdb.d/init-db.sql,ro,config/docker/scripts/docker/init-db.sql:/docker-entrypoint-initdb.d/init-db.sql:ro,wrong relative root,Update path to start with infrastructure/docker/
config/docker/docker-compose.yml,config/docker/blockchain,/app/blockchain,,config/docker/blockchain:/app/blockchain,wrong relative root,Update path to start with infrastructure/docker/
config/docker/docker-compose.yml,config/docker/scripts/docker/prometheus.yml,/etc/prometheus/prometheus.yml,ro,config/docker/scripts/docker/prometheus.yml:/etc/prometheus/prometheus.yml:ro,wrong relative root,Update path to start with infrastructure/docker/
config/docker/docker-compose.yml,config/docker/config/opa/policies,/policies,ro,config/docker/config/opa/policies:/policies:ro,wrong relative root,Update path to start with infrastructure/docker/
config/docker/docker-compose.yml,config/docker/logs/agent-hitl,/app/logs,,config/docker/logs/agent-hitl:/app/logs,wrong relative root,Update path to start with infrastructure/docker/
config/docker/docker-compose.yml,config/docker/scripts/docker/fluent-bit.conf,/fluent-bit/etc/fluent-bit.conf,ro,config/docker/scripts/docker/fluent-bit.conf:/fluent-bit/etc/fluent-bit.conf:ro,wrong relative root,Update path to start with infrastructure/docker/
config/docker/docker-compose.yml,config/docker/ssl/certs/acgs.pem,/usr/local/etc/haproxy/ssl/acgs.pem,ro,config/docker/ssl/certs/acgs.pem:/usr/local/etc/haproxy/ssl/acgs.pem:ro,wrong relative root,Update path to start with infrastructure/docker/
config/docker/docker-compose.yml,config/docker/scripts/docker/haproxy.cfg,/usr/local/etc/haproxy/haproxy.cfg,ro,config/docker/scripts/docker/haproxy.cfg:/usr/local/etc/haproxy/haproxy.cfg:ro,wrong relative root,Update path to start with infrastructure/docker/
config/docker/docker-compose.yml,config/docker/services/core/agent-hitl,,,config/docker/services/core/agent-hitl,wrong relative root,Update path to start with infrastructure/docker/
config/docker/docker-compose.yml,config/docker/scripts/docker/grafana/dashboards,/var/lib/grafana/dashboards,ro,config/docker/scripts/docker/grafana/dashboards:/var/lib/grafana/dashboards:ro,wrong relative root,Update path to start with infrastructure/docker/
config/docker/docker-compose.yml,config/docker/infrastructure/docker/opa-config.yaml,/config/opa-config.yaml,ro,config/docker/infrastructure/docker/opa-config.yaml:/config/opa-config.yaml:ro,wrong relative root,Update path to start with infrastructure/docker/
infrastructure/docker/docker-compose.fixed.yml,infrastructure/docker/services/core/formal-verification/fv_service,,,infrastructure/docker/services/core/formal-verification/fv_service,missing host directory,Create directory: infrastructure/docker/services/core/formal-verification/fv_service
infrastructure/docker/docker-compose.fixed.yml,infrastructure/docker/services/core/governance-synthesis/gs_service,/app,,infrastructure/docker/services/core/governance-synthesis/gs_service:/app,missing host directory,Create directory: infrastructure/docker/services/core/governance-synthesis/gs_service
infrastructure/docker/docker-compose.fixed.yml,infrastructure/docker/services/core/constitutional-ai/ac_service,/app,,infrastructure/docker/services/core/constitutional-ai/ac_service:/app,missing host directory,Create directory: infrastructure/docker/services/core/constitutional-ai/ac_service
infrastructure/docker/docker-compose.fixed.yml,infrastructure/docker/services/core/governance-synthesis/gs_service,,,infrastructure/docker/services/core/governance-synthesis/gs_service,missing host directory,Create directory: infrastructure/docker/services/core/governance-synthesis/gs_service
infrastructure/docker/docker-compose.fixed.yml,infrastructure/docker/services/core/constitutional-ai/ac_service,,,infrastructure/docker/services/core/constitutional-ai/ac_service,missing host directory,Create directory: infrastructure/docker/services/core/constitutional-ai/ac_service
infrastructure/docker/docker-compose.fixed.yml,infrastructure/docker/services/platform/integrity/integrity_service,/app,,infrastructure/docker/services/platform/integrity/integrity_service:/app,missing host directory,Create directory: infrastructure/docker/services/platform/integrity/integrity_service
infrastructure/docker/docker-compose.fixed.yml,infrastructure/docker/services/core/policy-governance/pgc_service,,,infrastructure/docker/services/core/policy-governance/pgc_service,missing host directory,Create directory: infrastructure/docker/services/core/policy-governance/pgc_service
infrastructure/docker/docker-compose.fixed.yml,infrastructure/docker/services/shared,/app/shared,,infrastructure/docker/services/shared:/app/shared,missing host directory,Create directory: infrastructure/docker/services/shared
infrastructure/docker/docker-compose.fixed.yml,infrastructure/docker/services/platform/integrity/integrity_service,,,infrastructure/docker/services/platform/integrity/integrity_service,missing host directory,Create directory: infrastructure/docker/services/platform/integrity/integrity_service
infrastructure/docker/docker-compose.acgs.yml,infrastructure/docker/services/core/agent-hitl,,,infrastructure/docker/services/core/agent-hitl,missing host directory,Create directory: infrastructure/docker/services/core/agent-hitl
infrastructure/docker/docker-compose.acgs.yml,infrastructure/docker/config/opa/policies,/policies,ro,infrastructure/docker/config/opa/policies:/policies:ro,missing host directory,Create directory: infrastructure/docker/config/opa/policies
infrastructure/docker/docker-compose.acgs.yml,infrastructure/docker/ssl/certs/acgs.pem,/usr/local/etc/haproxy/ssl/acgs.pem,ro,infrastructure/docker/ssl/certs/acgs.pem:/usr/local/etc/haproxy/ssl/acgs.pem:ro,missing host directory,Create directory: infrastructure/docker/ssl/certs/acgs.pem
infrastructure/docker/docker-compose.acgs.yml,infrastructure/docker/scripts/docker/grafana/provisioning,/etc/grafana/provisioning,ro,infrastructure/docker/scripts/docker/grafana/provisioning:/etc/grafana/provisioning:ro,missing host directory,Create directory: infrastructure/docker/scripts/docker/grafana/provisioning
infrastructure/docker/docker-compose.acgs.yml,infrastructure/docker/logs/agent-hitl,/app/logs,,infrastructure/docker/logs/agent-hitl:/app/logs,missing host directory,Create directory: infrastructure/docker/logs/agent-hitl
infrastructure/docker/docker-compose.acgs.yml,infrastructure/docker/scripts/docker/init-db.sql,/docker-entrypoint-initdb.d/init-db.sql,ro,infrastructure/docker/scripts/docker/init-db.sql:/docker-entrypoint-initdb.d/init-db.sql:ro,missing host directory,Create directory: infrastructure/docker/scripts/docker/init-db.sql
infrastructure/docker/docker-compose.acgs.yml,infrastructure/docker/scripts/docker/prometheus.yml,/etc/prometheus/prometheus.yml,ro,infrastructure/docker/scripts/docker/prometheus.yml:/etc/prometheus/prometheus.yml:ro,missing host directory,Create directory: infrastructure/docker/scripts/docker/prometheus.yml
infrastructure/docker/docker-compose.acgs.yml,infrastructure/docker/scripts/docker/grafana/dashboards,/var/lib/grafana/dashboards,ro,infrastructure/docker/scripts/docker/grafana/dashboards:/var/lib/grafana/dashboards:ro,missing host directory,Create directory: infrastructure/docker/scripts/docker/grafana/dashboards
infrastructure/docker/docker-compose.acgs.yml,infrastructure/docker/infrastructure/docker/opa-config.yaml,/config/opa-config.yaml,ro,infrastructure/docker/infrastructure/docker/opa-config.yaml:/config/opa-config.yaml:ro,missing host directory,Create directory: infrastructure/docker/infrastructure/docker/opa-config.yaml
infrastructure/docker/docker-compose.acgs.yml,infrastructure/docker/scripts/docker/fluent-bit.conf,/fluent-bit/etc/fluent-bit.conf,ro,infrastructure/docker/scripts/docker/fluent-bit.conf:/fluent-bit/etc/fluent-bit.conf:ro,missing host directory,Create directory: infrastructure/docker/scripts/docker/fluent-bit.conf
infrastructure/docker/docker-compose.acgs.yml,infrastructure/docker/blockchain,/app/blockchain,,infrastructure/docker/blockchain:/app/blockchain,missing host directory,Create directory: infrastructure/docker/blockchain
infrastructure/docker/docker-compose.acgs.yml,infrastructure/docker/scripts/docker/haproxy.cfg,/usr/local/etc/haproxy/haproxy.cfg,ro,infrastructure/docker/scripts/docker/haproxy.cfg:/usr/local/etc/haproxy/haproxy.cfg:ro,missing host directory,Create directory: infrastructure/docker/scripts/docker/haproxy.cfg
infrastructure/docker/docker-compose.testing.yml,infrastructure/opa/test-policies,/policies,ro,infrastructure/opa/test-policies:/policies:ro,wrong relative root,Update path to start with infrastructure/docker/
infrastructure/docker/docker-compose.testing.yml,infrastructure/database/test-schema.sql,/docker-entrypoint-initdb.d/01-schema.sql,ro,infrastructure/database/test-schema.sql:/docker-entrypoint-initdb.d/01-schema.sql:ro,wrong relative root,Update path to start with infrastructure/docker/
infrastructure/docker/docker-compose.testing.yml,tests,/tests,,tests:/tests,missing host directory,Create directory: tests
infrastructure/docker/docker-compose.testing.yml,infrastructure/monitoring/prometheus-test.yml,/etc/prometheus/prometheus.yml,ro,infrastructure/monitoring/prometheus-test.yml:/etc/prometheus/prometheus.yml:ro,wrong relative root,Update path to start with infrastructure/docker/
infrastructure/docker/docker-compose.testing.yml,services/ac,,,services/ac,wrong relative root,Update path to start with infrastructure/docker/
infrastructure/docker/docker-compose.testing.yml,services/auth,,,services/auth,wrong relative root,Update path to start with infrastructure/docker/
infrastructure/docker/docker-compose.prod.yml,infrastructure/docker/services,,,infrastructure/docker/services,missing host directory,Create directory: infrastructure/docker/services
infrastructure/docker/docker-compose.prod.yml,infrastructure/docker/config/ssl,/etc/nginx/ssl,,infrastructure/docker/config/ssl:/etc/nginx/ssl,missing host directory,Create directory: infrastructure/docker/config/ssl
infrastructure/docker/docker-compose.prod.yml,infrastructure/docker/config/nginx/production.conf,/etc/nginx/nginx.conf,,infrastructure/docker/config/nginx/production.conf:/etc/nginx/nginx.conf,missing host directory,Create directory: infrastructure/docker/config/nginx/production.conf
infrastructure/docker/docker-compose.prod.yml,infrastructure/docker/config/database/production_schema.sql,/docker-entrypoint-initdb.d/02-schema.sql,,infrastructure/docker/config/database/production_schema.sql:/docker-entrypoint-initdb.d/02-schema.sql,missing host directory,Create directory: infrastructure/docker/config/database/production_schema.sql
infrastructure/docker/docker-compose.prod.yml,infrastructure/docker/config/database/staging_optimizations.sql,/docker-entrypoint-initdb.d/01-optimizations.sql,,infrastructure/docker/config/database/staging_optimizations.sql:/docker-entrypoint-initdb.d/01-optimizations.sql,missing host directory,Create directory: infrastructure/docker/config/database/staging_optimizations.sql
infrastructure/docker/docker-compose.prod.yml,infrastructure/docker/config/opa/policies,/policies,,infrastructure/docker/config/opa/policies:/policies,missing host directory,Create directory: infrastructure/docker/config/opa/policies
infrastructure/docker/docker-compose-test.yml,infrastructure/docker/services/core/formal-verification/fv_service,,,infrastructure/docker/services/core/formal-verification/fv_service,missing host directory,Create directory: infrastructure/docker/services/core/formal-verification/fv_service
infrastructure/docker/docker-compose-test.yml,infrastructure/docker/services/core/governance-synthesis/gs_service,/app,,infrastructure/docker/services/core/governance-synthesis/gs_service:/app,missing host directory,Create directory: infrastructure/docker/services/core/governance-synthesis/gs_service
infrastructure/docker/docker-compose-test.yml,infrastructure/docker/services/core/formal-verification/fv_service,/app,,infrastructure/docker/services/core/formal-verification/fv_service:/app,missing host directory,Create directory: infrastructure/docker/services/core/formal-verification/fv_service
infrastructure/docker/docker-compose-test.yml,infrastructure/docker/services/platform/authentication/auth_service,/app,,infrastructure/docker/services/platform/authentication/auth_service:/app,missing host directory,Create directory: infrastructure/docker/services/platform/authentication/auth_service
infrastructure/docker/docker-compose-test.yml,infrastructure/docker/services/core/constitutional-ai/ac_service,/app,,infrastructure/docker/services/core/constitutional-ai/ac_service:/app,missing host directory,Create directory: infrastructure/docker/services/core/constitutional-ai/ac_service
infrastructure/docker/docker-compose-test.yml,infrastructure/docker/services/core/governance-synthesis/gs_service,,,infrastructure/docker/services/core/governance-synthesis/gs_service,missing host directory,Create directory: infrastructure/docker/services/core/governance-synthesis/gs_service
infrastructure/docker/docker-compose-test.yml,infrastructure/docker/services/platform/authentication/auth_service,,,infrastructure/docker/services/platform/authentication/auth_service,missing host directory,Create directory: infrastructure/docker/services/platform/authentication/auth_service
infrastructure/docker/docker-compose-test.yml,infrastructure/docker/services/core/constitutional-ai/ac_service,,,infrastructure/docker/services/core/constitutional-ai/ac_service,missing host directory,Create directory: infrastructure/docker/services/core/constitutional-ai/ac_service
infrastructure/docker/docker-compose-test.yml,infrastructure/docker/services/core/policy-governance/pgc_service,/app,,infrastructure/docker/services/core/policy-governance/pgc_service:/app,missing host directory,Create directory: infrastructure/docker/services/core/policy-governance/pgc_service
infrastructure/docker/docker-compose-test.yml,infrastructure/docker/services/platform/integrity/integrity_service,/app,,infrastructure/docker/services/platform/integrity/integrity_service:/app,missing host directory,Create directory: infrastructure/docker/services/platform/integrity/integrity_service
infrastructure/docker/docker-compose-test.yml,infrastructure/docker/services/core/policy-governance/pgc_service,,,infrastructure/docker/services/core/policy-governance/pgc_service,missing host directory,Create directory: infrastructure/docker/services/core/policy-governance/pgc_service
infrastructure/docker/docker-compose-test.yml,infrastructure/docker/services/shared,/app/shared,,infrastructure/docker/services/shared:/app/shared,missing host directory,Create directory: infrastructure/docker/services/shared
infrastructure/docker/docker-compose-test.yml,infrastructure/docker/services/platform/integrity/integrity_service,,,infrastructure/docker/services/platform/integrity/integrity_service,missing host directory,Create directory: infrastructure/docker/services/platform/integrity/integrity_service
infrastructure/docker/docker-compose.core.yml,infrastructure/docker/config/opa/policies,/policies,,infrastructure/docker/config/opa/policies:/policies,missing host directory,Create directory: infrastructure/docker/config/opa/policies
infrastructure/docker/docker-compose.core.yml,infrastructure/docker/wasm,/wasm,,infrastructure/docker/wasm:/wasm,missing host directory,Create directory: infrastructure/docker/wasm
infrastructure/docker/docker-compose.nano-vllm.yml,config/constitutional,/app/constitutional,ro,config/constitutional:/app/constitutional:ro,wrong relative root,Update path to start with infrastructure/docker/
infrastructure/docker/docker-compose.nano-vllm.yml,logs,/app/logs,,logs:/app/logs,missing host directory,Create directory: logs
infrastructure/docker/docker-compose.nano-vllm.yml,config/nano-vllm,/app/config,ro,config/nano-vllm:/app/config:ro,wrong relative root,Update path to start with infrastructure/docker/
infrastructure/docker/docker-compose.nano-vllm.yml,services/reasoning-models,,,services/reasoning-models,wrong relative root,Update path to start with infrastructure/docker/
infrastructure/docker/docker-compose-monitoring.yml,infrastructure/monitoring/config/prometheus.yml,/etc/prometheus/prometheus.yml,ro,infrastructure/monitoring/config/prometheus.yml:/etc/prometheus/prometheus.yml:ro,wrong relative root,Update path to start with infrastructure/docker/
infrastructure/docker/docker-compose-monitoring.yml,infrastructure/monitoring/grafana/provisioning,/etc/grafana/provisioning,ro,infrastructure/monitoring/grafana/provisioning:/etc/grafana/provisioning:ro,wrong relative root,Update path to start with infrastructure/docker/
infrastructure/docker/docker-compose-monitoring.yml,infrastructure/monitoring/alertmanager.yml,/etc/alertmanager/alertmanager.yml,ro,infrastructure/monitoring/alertmanager.yml:/etc/alertmanager/alertmanager.yml:ro,wrong relative root,Update path to start with infrastructure/docker/
infrastructure/docker/docker-compose-monitoring.yml,infrastructure/monitoring/rules,/etc/prometheus/rules,ro,infrastructure/monitoring/rules:/etc/prometheus/rules:ro,wrong relative root,Update path to start with infrastructure/docker/
infrastructure/docker/docker-compose-monitoring.yml,infrastructure/monitoring/dashboards,/etc/grafana/provisioning/dashboards,ro,infrastructure/monitoring/dashboards:/etc/grafana/provisioning/dashboards:ro,wrong relative root,Update path to start with infrastructure/docker/
infrastructure/docker/docker-compose.nats.yml,infrastructure/docker/init-scripts,/docker-entrypoint-initdb.d,,infrastructure/docker/init-scripts:/docker-entrypoint-initdb.d,missing host directory,Create directory: infrastructure/docker/init-scripts
infrastructure/docker/docker-compose.nats.yml,services/core/dgm-service,,,services/core/dgm-service,wrong relative root,Update path to start with infrastructure/docker/
infrastructure/docker/docker-compose.nats.yml,services/platform/authentication,,,services/platform/authentication,wrong relative root,Update path to start with infrastructure/docker/
infrastructure/docker/docker-compose.kimi-swe.yml,infrastructure/docker/data/swe_repos,,,infrastructure/docker/data/swe_repos,missing host directory,Create directory: infrastructure/docker/data/swe_repos
infrastructure/docker/docker-compose.kimi-swe.yml,infrastructure/docker/config/kimi,/app/config,ro,infrastructure/docker/config/kimi:/app/config:ro,missing host directory,Create directory: infrastructure/docker/config/kimi
infrastructure/docker/docker-compose.kimi-swe.yml,infrastructure/docker/logs,/app/logs,,infrastructure/docker/logs:/app/logs,missing host directory,Create directory: infrastructure/docker/logs
infrastructure/docker/docker-compose.kimi-swe.yml,infrastructure/docker/integrations/kimi-dev,,,infrastructure/docker/integrations/kimi-dev,missing host directory,Create directory: infrastructure/docker/integrations/kimi-dev
infrastructure/docker/docker-compose.kimi-swe.yml,infrastructure/docker/data/swe_repos,/app/swe_repos,,infrastructure/docker/data/swe_repos:/app/swe_repos,missing host directory,Create directory: infrastructure/docker/data/swe_repos
infrastructure/docker/docker-compose.kimi-swe.yml,infrastructure/docker/scripts/swe_bench,/app/scripts,,infrastructure/docker/scripts/swe_bench:/app/scripts,missing host directory,Create directory: infrastructure/docker/scripts/swe_bench
infrastructure/docker/docker-compose.kimi-swe.yml,infrastructure/docker/integrations/kimi-dev,/app/kimi-dev,,infrastructure/docker/integrations/kimi-dev:/app/kimi-dev,missing host directory,Create directory: infrastructure/docker/integrations/kimi-dev
infrastructure/docker/docker-compose.kimi-swe.yml,infrastructure/docker/data/swe_repos,/app/swe_repos,ro,infrastructure/docker/data/swe_repos:/app/swe_repos:ro,missing host directory,Create directory: infrastructure/docker/data/swe_repos
infrastructure/docker/docker-compose.production.yml,infrastructure/docker/prometheus/prometheus.yml,/etc/prometheus/prometheus.yml,ro,infrastructure/docker/prometheus/prometheus.yml:/etc/prometheus/prometheus.yml:ro,missing host directory,Create directory: infrastructure/docker/prometheus/prometheus.yml
infrastructure/docker/docker-compose.production.yml,infrastructure/docker/postgres/postgresql.conf,/etc/postgresql/postgresql.conf,ro,infrastructure/docker/postgres/postgresql.conf:/etc/postgresql/postgresql.conf:ro,missing host directory,Create directory: infrastructure/docker/postgres/postgresql.conf
infrastructure/docker/docker-compose.production.yml,infrastructure/docker/nginx/conf.d,/etc/nginx/conf.d,ro,infrastructure/docker/nginx/conf.d:/etc/nginx/conf.d:ro,missing host directory,Create directory: infrastructure/docker/nginx/conf.d
infrastructure/docker/docker-compose.production.yml,infrastructure/docker/prometheus/rules,/etc/prometheus/rules,ro,infrastructure/docker/prometheus/rules:/etc/prometheus/rules:ro,missing host directory,Create directory: infrastructure/docker/prometheus/rules
infrastructure/docker/docker-compose.production.yml,infrastructure/docker/postgres/pg_hba.conf,/etc/postgresql/pg_hba.conf,ro,infrastructure/docker/postgres/pg_hba.conf:/etc/postgresql/pg_hba.conf:ro,missing host directory,Create directory: infrastructure/docker/postgres/pg_hba.conf
infrastructure/docker/docker-compose.production.yml,infrastructure/docker/nginx/nginx.conf,/etc/nginx/nginx.conf,ro,infrastructure/docker/nginx/nginx.conf:/etc/nginx/nginx.conf:ro,missing host directory,Create directory: infrastructure/docker/nginx/nginx.conf
infrastructure/docker/docker-compose.monitoring.yml,infrastructure/docker/alertmanager.yml,/etc/alertmanager/alertmanager.yml,,infrastructure/docker/alertmanager.yml:/etc/alertmanager/alertmanager.yml,missing host directory,Create directory: infrastructure/docker/alertmanager.yml
infrastructure/docker/docker-compose.monitoring.yml,infrastructure/docker/acgs_pgp_rules.yml,/etc/prometheus/acgs_pgp_rules.yml,,infrastructure/docker/acgs_pgp_rules.yml:/etc/prometheus/acgs_pgp_rules.yml,missing host directory,Create directory: infrastructure/docker/acgs_pgp_rules.yml
infrastructure/docker/docker-compose.monitoring.yml,infrastructure/docker/prometheus.yml,/etc/prometheus/prometheus.yml,,infrastructure/docker/prometheus.yml:/etc/prometheus/prometheus.yml,missing host directory,Create directory: infrastructure/docker/prometheus.yml
infrastructure/docker/docker-compose.staging.yml,infrastructure/docker/services,,,infrastructure/docker/services,missing host directory,Create directory: infrastructure/docker/services
infrastructure/docker/docker-compose.staging.yml,infrastructure/docker/config/database/staging_optimizations.sql,/docker-entrypoint-initdb.d/01-optimizations.sql,,infrastructure/docker/config/database/staging_optimizations.sql:/docker-entrypoint-initdb.d/01-optimizations.sql,missing host directory,Create directory: infrastructure/docker/config/database/staging_optimizations.sql
infrastructure/docker/docker-compose.staging.yml,infrastructure/docker/config/opa/policies,/policies,,infrastructure/docker/config/opa/policies:/policies,missing host directory,Create directory: infrastructure/docker/config/opa/policies
infrastructure/docker/docker-compose.staging.yml,infrastructure/docker/config/database/production_schema.sql,/docker-entrypoint-initdb.d/02-schema.sql,,infrastructure/docker/config/database/production_schema.sql:/docker-entrypoint-initdb.d/02-schema.sql,missing host directory,Create directory: infrastructure/docker/config/database/production_schema.sql
infrastructure/docker/docker-compose.enterprise-stack.yml,infrastructure/haproxy/haproxy.cfg,/usr/local/etc/haproxy/haproxy.cfg,ro,infrastructure/haproxy/haproxy.cfg:/usr/local/etc/haproxy/haproxy.cfg:ro,wrong relative root,Update path to start with infrastructure/docker/
infrastructure/docker/docker-compose.enterprise-stack.yml,infrastructure/registry/auth,/auth,ro,infrastructure/registry/auth:/auth:ro,wrong relative root,Update path to start with infrastructure/docker/
